course_code,course_name,course_catg,credits,dept_id,course_type
CY201,Chemistry   ,BSC,4,CY,TY
CY202,Chemistry Laboratory,BSC,1.5,CY,LB
FY201,Induction Programme,MCC,0,FY,MC
HS201,English For Communication,HSM,3,HS,TY
MA201,Mathematics-I,BSC,4,MA,TY
MA202,Mathematics-II,BSC,4,MA,TY
ME201,Workshop And Manufacturing Practice,ESC,1.5,ME,LB
PH201,Physics,BSC,4,PH,TY
PH202,Physics Laboratory,BSC,1.5,PH,LB
CE201,Environmental Science,MCC,0,CE, MC
CS201,Programming For Problem Solving,ESC,3,CS,TY
CS202,Programming Laboratory,ESC,1.5,CS,LB
EE201,Basic Electrical Engineering,ESC,4,EE,TY
EE202,Basic Electrical Engineering Laboratory,ESC,1.5,EE,LB
ME202,Engineering Graphics And Computer Aided Drawing,ESC,3,ME,TY
CE202,Engineering Mechanics,ESC,4,CE,TY
CE203,Engineering Geology,PCC,2,CE,TY
CE204,Fluid Mechanics,PCC,3,CE,TY
CE205,Building Technology,PCC,3,CE,TY
CE206,Surveying And Geomatics,PCC,3,CE,TY
CE207,Computer-Aided Civil Engineering Drawing,ESC,1.5,CE,LB
CE208,Suveying Laboratory,PCC,1.5,CE,LB
CEH01,Eco-Friendly Building Materials And Construction,PCC,4,CE,TY
CEM01,Materials And Technologies Of Building Construction,PCC,4,CE,TY
SH201,Biology For Engineers,BSC,2,CY,TY
CE233,Engineering Mechanics And Mechanics Of Solids,ESC,4,CE,TY
CH201,Momentum Transfer,PCC,4,CH,TY
CH202,Process Calculations,PCC,4,CH,TY
CHH01,Introduction To Frontiers Of Chemical Engineering,PCC,4,CH,TY
CHM01,Process Engineering Principles And Calculations,PCC,4,CH,TY
CY203,Chemistry For Chemical Engineering,BSC,4,CY,TY
CY204,Chemistry Lab For Chemical Engineering,BSC,1.5,CY,LB
CS203,Computer Organization And Architecture,PCC,4,CS,TY
CS204,Data Structures,PCC,3,CS,TY
CS205,Object Oriented Programming Languages,PCC,3,CS,TY
CS206,Data Structures Laboratory,PCC,1.5,CS,LB
CS207,Object Oriented Programming Languages Laboratory,PCC,1.5,CS,LB
CSH01,Human Computer Interaction,PCC,4,CS,TY
CSM01,Data Structures And Algorithms,PCC,4,CS,TY
EC235,Electronic Devices And Digital Systems,ESC,3,EC,TY
EC236,Electronic Devices And Digital Systems Laboratory,ESC,1.5,EC,LB
CS234,Data Structures And Object-Oriented Programming,ESC,3,CS,TY
CS235,Data Structures And Object-Oriented Programming Laboratory,ESC,1.5,CS,LB
EC201,Circuits And Networks,PCC,3,EC,TY
EC202,Electronic Devices And Circuits,PCC,3,EC,TY
EC203,Electromagnetic Waves And Fields,PCC,3,EC,TY
EC204,Digital System Design,PCC,3,EC,TY
