prgm_id,course_code,sem
2,CY201,1
2,CY202,1
2,FY201,1
2,HS201,1
2,MA201,1
2,MA202,2
2,ME201,1
2,PH201,1
2,PH202,1
2,CE201,2
2,CS201,2
2,CS202,2
2,EE201,2
2,EE202,2
2,ME202,2
4,CY201,1
4,CY202,1
4,FY201,1
4,HS201,1
4,MA201,1
4,MA202,2
4,ME201,1
4,PH201,1
4,PH202,1
4,CE201,2
4,CS201,2
4,CS202,2
4,EE201,2
4,EE202,2
4,ME202,2
7,CY201,1
7,CY202,1
7,FY201,1
7,HS201,1
7,MA201,1
7,MA202,2
7,ME201,1
7,PH201,1
7,PH202,1
7,CE201,2
7,CS201,2
7,CS202,2
7,EE201,2
7,EE202,2
7,ME202,2
8,CY201,1
8,CY202,1
8,FY201,1
8,HS201,1
8,MA201,1
8,MA202,2
8,ME201,1
8,PH201,1
8,PH202,1
8,CE201,2
8,CS201,2
8,CS202,2
8,EE201,2
8,EE202,2
8,ME202,2
1,CY201,2
1,CY202,2
1,FY201,1
1,HS201,1
1,MA201,1
1,MA202,2
1,ME201,2
1,PH201,2
1,PH202,2
1,CE201,1
1,CS201,1
1,CS202,1
1,EE201,1
1,EE202,1
1,ME202,1
3,CY201,2
3,CY202,2
3,FY201,1
3,HS201,1
3,MA201,1
3,MA202,2
3,ME201,2
3,PH201,2
3,PH202,2
3,CE201,1
3,CS201,1
3,CS202,1
3,EE201,1
3,EE202,1
3,ME202,1
5,CY201,2
5,CY202,2
5,FY201,1
5,HS201,1
5,MA201,1
5,MA202,2
5,ME201,2
5,PH201,2
5,PH202,2
5,CE201,1
5,CS201,1
5,CS202,1
5,EE201,1
5,EE202,1
5,ME202,1
6,CY201,2
6,CY202,2
6,FY201,1
6,HS201,1
6,MA201,1
6,MA202,2
6,ME201,2
6,PH201,2
6,PH202,2
6,CE201,1
6,CS201,1
6,CS202,1
6,EE201,1
6,EE202,1
6,ME202,1
1,CE202,3
1,CE203,3
1,CE204,3
1,CE205,3
1,CE206,3
1,CE207,3
1,CE208,3
1,SH201,3
7,CE233,3
7,CH201,3
7,CH202,3
7,CY203,3
7,CY204,3
4,CS203,3
4,CS204,3
4,CS205,3
4,CS206,3
4,CS207,3
4,EC235,3
4,EC236,3
3,CS234,3
3,CS235,3
3,EC201,3
3,EC202,3
3,EC203,3
3,EC204,3
3,EC205,3
3,MA205,3
5,EE203,3
5,EE204,3
5,EE205,3
5,EE206,3
5,EE207,3
5,EE208,3
5,EE209,3
6,EI201,3
6,EI202,3
6,EI203,3
6,EI204,3
6,EI205,3
6,EI206,3
6,MA204,3
8,EC233,3
8,IT201,3
8,IT202,3
8,IT203,3
8,IT204,3
8,IT205,3
8,IT206,3
2,MA204,3
2,ME203,3
2,ME204,3
2,ME205,3
2,ME206,3
2,ME207,3
1,CE209,4
1,CE210,4
1,CE211,4
1,CE212,4
1,CE213,4
1,CE214,4
1,EI212,4
1,MA203,4
1,SH202,4
7,CH203,4
7,CH204,4
7,CH205,4
7,CH206,4
7,CH207,4
7,EC234,4
4,CS208,4
4,CS209,4
4,CS210,4
4,CS211,4
4,CS212,4
4,CS213,4
4,CS214,4
4,MA206,4
3,EC206,4
3,EC207,4
3,EC208,4
3,EC209,4
3,EC210,4
3,EC211,4
3,EC212,4
5,CS234,4
5,CS235,4
5,EE210,4
5,EE211,4
5,EE212,4
5,EE213,4
5,EE214,4
6,CS234,4
6,CS235,4
6,EI207,4
6,EI208,4
6,EI209,4
6,EI210,4
6,EI211,4
8,IT207,4
8,IT208,4
8,IT209,4
8,IT210,4
8,IT211,4
8,IT212,4
8,IT213,4
2,EC234,4
2,ME208,4
2,ME209,4
2,ME210,4
2,ME211,4
